359,"-22,8930573","-47,1056558"
1,"-22,9035317","-47,0570211"
4,"-22,8833194","-47,0652578"
5,"-22,8833194","-47,0652578"
6,"-22,9882822","-47,1494069"
7,"-22,8833194","-47,0652578"
15,"-22,9490535","-47,1868611"
16,"-22,9035317","-47,0570211"
18,"-22,863337","-47,1534878"
38,"-23,5968729","-46,6358078"
40,"-22,9050297","-47,0616697"
42,"-22,9050297","-47,0616697"
44,"-22,8930846","-47,105634"
47,"-22,9717393","-47,126562"
48,"-22,9471153","-47,1090819"
50,"-22,933927","-47,0923458"
51,"-22,9591849","-47,1377908"
52,"-22,9783955","-47,1219536"
59,"-22,9438805","-47,1472732"
62,"-22,9471153","-47,1090819"
66,"-22,9216238","-47,0303173"
67,"-22,9175156","-47,0683184"
70,"-22,9175156","-47,0683184"
72,"-22,9050297","-47,0616697"
74,"-22,9878979","-47,119356"
75,"-22,9014181","-47,0922923"
77,"-22,9530274","-47,1125247"
81,"-22,9050297","-47,0616697"
85,"-22,9023677","-47,0578183"
99,"-22,8312863","-47,0788625"
104,"-22,9882822","-47,1494069"
112,"-22,9626134","-47,1375273"
130,"-22,863337","-47,1534878"
140,"-22,9471153","-47,1090819"
162,"-22,948237","-47,0264873"
165,"-22,8998504","-47,0557075"
182,"-22,91616661971","-47,066129"
232,"-22,948237","-47,0242986"
254,"-22,9050296","-47,0638637"
303,"-22,8992966","-47,05416"
348,"-22,8950632","-47,1706916"
